664e9d24 17c 90 38   Note On Ab2 43
664e9e4e 17c 90 38   Note On(0-Off) Ab2
664e9ec8 17c 90 38   Note On Ab2 68
664e9faa 17c 90 38   Note On(0-Off) Ab2
664e9ff6 17c 90 38   Note On Ab2 26
664ea05d 17c 90 38   Note On(0-Off) Ab2
664ea0a0 17c 90 38   Note On Ab2 61
664ea111 17c 90 38   Note On(0-Off) Ab2
664ea15e 17c 90 38   Note On Ab2 102
664ea1c7 17c 90 38   Note On(0-Off) Ab2

664ea203 17c 90 38   Note On Ab2 91
664ea27c 17c 90 38   Note On(0-Off) Ab2
664ea2a5 17c 90 38   Note On Ab2 79
664ea352 17c 90 38   Note On(0-Off) Ab2
664ec19a 17c 90 3f   Note On Eb3 98

664ec19b 17c 90 3d   Note On C#3 103
664ec323 17c 90 3f   Note On(0-Off) Eb3
664ecaa6 17c 90 3d   Note On(0-Off) C#3
664ecc14 17c 90 3d   Note On C#3 107

664ecc2c 17c 90 3d   Note On(0-Off) C#3
664ecf05 17c 90 38   Note On Ab2 112
664ed002 17c 90 3a   Note On Bb2 96
664ed1fa 17c 90 3d   Note On C#3 94
664ed2a5 17c 90 3a   Note On(0-Off) Bb2

664ed2b0 17c 90 38   Note On(0-Off) Ab2
664ed2e3 17c 90 3d   Note On(0-Off) C#3

664ed339 17c 90 38   Note On Ab2 98

664ed33a 17c 90 3f   Note On Eb3 105
664ed352 17c 90 28   Note On E1 100
664ed635 17c 90 38   Note On(0-Off) Ab2

664ed659 17c 90 3f   Note On(0-Off) Eb3
664ed72b 17c 90 28   Note On(0-Off) E1
664ed913 17c 90 38   Note On Ab2 69
664eda1b 17c 90 38   Note On(0-Off) Ab2
664edb42 17c 90 38   Note On Ab2 61

664edb46 17c 90 3f   Note On Eb3 82

664edb4a 17c 90 2a   Note On F#1 94

664edb4f 17c 90 44   Note On Ab3 60
664edf27 17c 90 44   Note On(0-Off) Ab3
664edf5e 17c 90 38   Note On(0-Off) Ab2

664edf9b 17c 90 3f   Note On(0-Off) Eb3
664edff5 17c 90 3f   Note On Eb3 68
664ee007 17c 90 42   Note On F#3 94

664ee00d 17c 90 38   Note On Ab2 100
664ee2b1 17c 90 3f   Note On(0-Off) Eb3

664ee2b1 17c 90 38   Note On(0-Off) Ab2
664ee2e3 17c 90 42   Note On(0-Off) F#3
664ee4bc 17c 90 2a   Note On(0-Off) F#1

664ee4c4 17c 90 3d   Note On C#3 52

664ee4c5 17c 90 3a   Note On Bb2 71

664ee4c6 17c 90 27   Note On Eb1 100

664ee4ca 17c 90 42   Note On F#3 77

664ee4cd 17c 90 36   Note On F#2 66
664eeab7 17c 90 3a   Note On(0-Off) Bb2
664eeac7 17c 90 42   Note On(0-Off) F#3

664eeacf 17c 90 3d   Note On(0-Off) C#3

664eead4 17c 90 36   Note On(0-Off) F#2
664eeb78 17c 90 3a   Note On Bb2 100

664eeb7b 17c 90 3d   Note On C#3 100

664eeb84 17c 90 36   Note On F#2 89

664eeb85 17c 90 42   Note On F#3 89
664eec1e 17c 90 3a   Note On(0-Off) Bb2

664eec25 17c 90 3d   Note On(0-Off) C#3

664eec37 17c 90 36   Note On(0-Off) F#2

664eec68 17c 90 3d   Note On C#3 61
664eec6f 17c 90 3a   Note On Bb2 61

664eec73 17c 90 36   Note On F#2 27
664eecf8 17c 90 3a   Note On(0-Off) Bb2

664eecff 17c 90 3d   Note On(0-Off) C#3

664eed00 17c 90 42   Note On(0-Off) F#3

664eed02 17c 90 36   Note On(0-Off) F#2
664eed63 17c 90 3d   Note On C#3 66

664eed68 17c 90 3a   Note On Bb2 89

664eed6b 17c 90 36   Note On F#2 58

664eed6d 17c 90 42   Note On F#3 40
664eedf9 17c 90 3a   Note On(0-Off) Bb2

664eee00 17c 90 3d   Note On(0-Off) C#3

664eee02 17c 90 36   Note On(0-Off) F#2
664eee10 17c 90 42   Note On(0-Off) F#3
664eee7f 17c 90 3d   Note On C#3 89

664eee81 17c 90 3a   Note On Bb2 98

664eee86 17c 90 42   Note On F#3 54

664eee87 17c 90 36   Note On F#2 61
664eef2b 17c 90 3a   Note On(0-Off) Bb2

664eef34 17c 90 3d   Note On(0-Off) C#3

664eef3a 17c 90 36   Note On(0-Off) F#2

664eef3c 17c 90 42   Note On(0-Off) F#3
664eef7c 17c 90 3d   Note On C#3 64

664eef7e 17c 90 36   Note On F#2 51

664eef7f 17c 90 3a   Note On Bb2 73

664eef8d 17c 90 42   Note On F#3 29
